Data element ID,Activity ID,Form ID,Form data element label,Data element label,Description and definition,Data type,Input options,Quantity sub-type,Calculation,Optionality,Reason for requiring data,Explain conditionality,Duplicates,Functional grouping,Linkages to aggregate indicators,Linkages to decision support tables,Annotations,Source (iHRIS 4.3.3)
IHRIS.DE.Person_Scheduled_Training_Course.average,,person_scheduled_training_course,Average,Average,,Quantity,,Integer quantity,,O,,,No,Person Scheduled Training Course,,,,iHRIS_Person_Scheduled_Training_Course.average (INT)
IHRIS.DE.Person_Scheduled_Training_Course.training_course_evaluation,,person_scheduled_training_course,Evaluation,Evaluation,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/training_course_evaluation,,,R,,,No,Person Scheduled Training Course,,,,iHRIS_Person_Scheduled_Training_Course.training_course_evaluation (MAP)
IHRIS.DE.Person_Scheduled_Training_Course.training_course_requestor,,person_scheduled_training_course,Requested By,Requested By,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/training_course_requestor,,,O,,,No,Person Scheduled Training Course,,,,iHRIS_Person_Scheduled_Training_Course.training_course_requestor (MAP)
IHRIS.DE.Person_Scheduled_Training_Course.scheduled_training_course,,person_scheduled_training_course,Instance,Instance,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/scheduled_training_course,,,R,,,No,Person Scheduled Training Course,,,,iHRIS_Person_Scheduled_Training_Course.scheduled_training_course (MAP)
IHRIS.DE.Photo.image,,person_photo_passport,Image,Image,,Attachment,,,,O,,,No,Person Photo,,,image,iHRIS_Photo.image (IMAGE)
IHRIS.DE.Photo.date,,person_photo_passport,Date,Date,,Date,,,,R,,,No,Person Photo,,,,iHRIS_Photo.date (DATE_YMD)
IHRIS.DE.Photo.description,,person_photo_passport,Description,Description,,String,,,,O,,,No,Person Photo,,,,iHRIS_Photo.description (STRING_LINE)
IHRIS.DE.PositionDecision.date,,position_decision,Date of Decision,Date of Decision,,Date,,,,R,,,No,Position Decision,,,,iHRIS_PositionDecision.date (DATE_YMD)
IHRIS.DE.PositionDecision.offer,,position_decision,Make a Job Offer?,Make a Job Offer?,,Boolean,,,,O,,,No,Position Decision,,,,iHRIS_PositionDecision.offer (YESNO)
IHRIS.DE.PositionDecision.comments,,position_decision,Comments,Comments,,String,,,,O,,,No,Position Decision,,,multi-line text,iHRIS_PositionDecision.comments (STRING_MLINE)
IHRIS.DE.PositionDecision.record,,position_decision,Record of Decision,Record of Decision,,Attachment,,,,O,,,No,Position Decision,,,,iHRIS_PositionDecision.record (DOCUMENT)
IHRIS.DE.PositionInterview.date,,position_interview,Date of Interview,Date of Interview,,Date,,,,R,,,No,Position Interview,,,,iHRIS_PositionInterview.date (DATE_YMD)
IHRIS.DE.PositionInterview.person,,position_interview,People Attending,People Attending,,String,,,,R,,,No,Position Interview,,,,iHRIS_PositionInterview.person (STRING_LINE)
IHRIS.DE.PositionInterview.comments,,position_interview,Comments,Comments,,String,,,,O,,,No,Position Interview,,,multi-line text,iHRIS_PositionInterview.comments (STRING_MLINE)
IHRIS.DE.PositionInterview.record,,position_interview,Interview Record,Interview Record,,Attachment,,,,O,,,No,Position Interview,,,,iHRIS_PositionInterview.record (DOCUMENT)
IHRIS.DE.PrivatePractice.license_number,,private_practice,License Number,License Number,,ID,,,,R,,,No,Private Practice License,,,system-generated number,iHRIS_PrivatePractice.license_number (INT_GENERATE)
IHRIS.DE.PrivatePractice.start_date,,private_practice,Start Date,Start Date,,Date,,,,R,,,No,Private Practice License,,,,iHRIS_PrivatePractice.start_date (DATE_YMD)
IHRIS.DE.PrivatePractice.end_date,,private_practice,End Date,End Date,,Date,,,,R,,,No,Private Practice License,,,,iHRIS_PrivatePractice.end_date (DATE_YMD)
IHRIS.DE.PrivatePractice.inspection_results,,private_practice,Inspection Results,Inspection Results,,String,,,,O,,,No,Private Practice License,,,multi-line text,iHRIS_PrivatePractice.inspection_results (STRING_MLINE)
IHRIS.DE.PrivatePractice.inspection_date,,private_practice,Inspection Date,Inspection Date,,Date,,,,O,,,No,Private Practice License,,,,iHRIS_PrivatePractice.inspection_date (DATE_YMD)
IHRIS.DE.PrivatePractice.health_facility,,private_practice,Health Facility,Health Facility,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/health_facility,,,R,,,No,Private Practice License,,,,iHRIS_PrivatePractice.health_facility (MAP)
IHRIS.DE.QualifyDemographic.birth_location,,demographic,Birth Location,Birth Location,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/county; https://litlfred.github.io/ihris/dak/ValueSet/district,,,O,,,No,Demographic Information,,,"hierarchical selection across lists: county, district",iHRIS_QualifyDemographic.birth_location (MAP)
IHRIS.DE.QualifyPerson.home,,person,Home,Home,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/county; https://litlfred.github.io/ihris/dak/ValueSet/district,,,O,,,No,Person,,,"hierarchical selection across lists: county, district",iHRIS_QualifyPerson.home (MAP)
IHRIS.DE.RecordVerify.verify_date,,record_verify,Verification Date,Verification Date,,Date,,,,O,,,No,Record Verification,,,,iHRIS_RecordVerify.verify_date (DATE_YMD)
IHRIS.DE.RecordVerify.verify_change,,record_verify,Changes Made,Changes Made,,List - select all that apply,https://litlfred.github.io/ihris/dak/ValueSet/verify_change,,,O,,,No,Record Verification,,,,iHRIS_RecordVerify.verify_change (MAP_MULT)
IHRIS.DE.Registration.council,,registration,Registration Council,Registration Council,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/council,,,R,,,No,Registration,,,,iHRIS_Registration.council (MAP)
IHRIS.DE.Registration.registration_number,,registration,Registration Number,Registration Number,,String,,,,R,,,No,Registration,,,,iHRIS_Registration.registration_number (STRING_LINE)
IHRIS.DE.Registration.license_number,,registration,License Number,License Number,,String,,,,O,,,No,Registration,,,,iHRIS_Registration.license_number (STRING_LINE)
IHRIS.DE.Registration.registration_date,,registration,Registration Date,Registration Date,,Date,,,,R,,,No,Registration,,,,iHRIS_Registration.registration_date (DATE_YMD)
IHRIS.DE.Registration.license_expiration,,registration,License Expiration Date,License Expiration Date,,Date,,,,O,,,No,Registration,,,,iHRIS_Registration.license_expiration (DATE_YMD)
IHRIS.DE.Registration.application_date,,registration,Application Date,Application Date,,Date,,,,R,,,No,Registration,,,,iHRIS_Registration.application_date (DATE_YMD)
IHRIS.DE.Registration.practice_type,,registration,Practice Type,Practice Type,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/registration_type,,,R,,,No,Registration,,,,iHRIS_Registration.practice_type (MAP)
IHRIS.DE.Salary.start_date,,salary,Start Date,Start Date,,Date,,,,R,,,No,Salary,,,,iHRIS_Salary.start_date (DATE_YMD)
IHRIS.DE.Salary.salary,,salary,Salary,Salary,,Quantity,,Decimal quantity,,R,,,No,Salary,,,monetary amount; the currency is part of the value in iHRIS,iHRIS_Salary.salary (CURRENCY)
IHRIS.DE.Salary.end_date,,salary,End Date,End Date,,Date,,,,O,,,No,Salary,,,,iHRIS_Salary.end_date (DATE_YMD)
IHRIS.DE.Salary.last,,salary,,last,,Quantity,,Integer quantity,,O,,,No,Salary,,,,iHRIS_Salary.last (INT)
IHRIS.DE.Salary.notes,,salary,Notes,Notes,,String,,,,O,,,No,Salary,,,multi-line text,iHRIS_Salary.notes (STRING_MLINE)
IHRIS.DE.SecondaryEducation.sec_school,,education,Secondary School Name,Secondary School Name,,String,,,,R,,,No,Education History,,,,iHRIS_SecondaryEducation.sec_school (STRING_LINE)
IHRIS.DE.SecondaryEducation.certificate,,education,Certificate,Certificate,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/certificate,,,R,,,No,Education History,,,,iHRIS_SecondaryEducation.certificate (MAP)
IHRIS.DE.SecondaryEducation.grade,,education,Grade Obtained,Grade Obtained,,String,,,,O,,,No,Education History,,,,iHRIS_SecondaryEducation.grade (STRING_LINE)
IHRIS.DE.SecondaryEducation.certificate_number,,education,Certificate Number,Certificate Number,,String,,,,O,,,No,Education History,,,,iHRIS_SecondaryEducation.certificate_number (STRING_LINE)
IHRIS.DE.Training.index_num,,training,Index Number,Index Number,,ID,,,,R,,,No,Training,,,system-generated number,iHRIS_Training.index_num (INT_GENERATE)
IHRIS.DE.Training.cadre,,training,Cadre,Cadre,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/cadre,,,O,,,No,Training,,,,iHRIS_Training.cadre (MAP)
IHRIS.DE.Training.intake_date,,training,Intake Date,Intake Date,,Date,,,,R,,,No,Training,,,,iHRIS_Training.intake_date (DATE_YMD)
IHRIS.DE.Training.graduation,,training,Graduation Date,Graduation Date,,Date,,,,O,,,No,Training,,,,iHRIS_Training.graduation (DATE_YMD)
IHRIS.DE.Training.trained_outside,,training,Trained Outside this Country,Trained Outside this Country,,Boolean,,,,O,,,No,Training,,,,iHRIS_Training.trained_outside (BOOL)
IHRIS.DE.Training.training_program,,training,Training Program,Training Program,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/training_program,,,O,,,No,Training,,,,iHRIS_Training.training_program (MAP)
IHRIS.DE.Training.training_institution,,training,Training Institution,Training Institution,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/training_institution,,,O,,,No,Training,,,,iHRIS_Training.training_institution (MAP)
IHRIS.DE.Training.in_cadre,,training,Cadre,Cadre,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/cadre,,,O,,,No,Training,,,,iHRIS_Training.in_cadre (MAP)
IHRIS.DE.Training.out_country,,training,Country Trained in,Country Trained in,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/country,,,O,,,No,Training,,,,iHRIS_Training.out_country (MAP)
IHRIS.DE.Training.out_institution,,training,Training Institution,Training Institution,,String,,,,O,,,No,Training,,,,iHRIS_Training.out_institution (STRING_LINE)
IHRIS.DE.Training.out_cadre,,training,Cadre,Cadre,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/cadre,,,O,,,No,Training,,,,iHRIS_Training.out_cadre (MAP)
IHRIS.DE.TrainingDisrupt.disruption_reason,,training_disrupt,Disruption Reason,Disruption Reason,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/training_disruption_reason,,,R,,,No,Training Disruption,,,,iHRIS_TrainingDisrupt.disruption_reason (MAP)
IHRIS.DE.TrainingDisrupt.disruption_date,,training_disrupt,Disruption Date,Disruption Date,,Date,,,,R,,,No,Training Disruption,,,,iHRIS_TrainingDisrupt.disruption_date (DATE_YMD)
IHRIS.DE.TrainingDisrupt.resumption_date,,training_disrupt,Resumption Date,Resumption Date,,Date,,,,O,,,No,Training Disruption,,,,iHRIS_TrainingDisrupt.resumption_date (DATE_YMD)
IHRIS.DE.Training_Course_Competency_Evaluation.notes,,training_course_competency_evaluation,Notes,Notes,,String,,,,O,,,No,Training Course Competency Evaluation,,,multi-line text,iHRIS_Training_Course_Competency_Evaluation.notes (STRING_MLINE)
IHRIS.DE.Training_Course_Competency_Evaluation.evaluation_date,,training_course_competency_evaluation,Evaluation Date,Evaluation Date,,Date,,,,R,,,No,Training Course Competency Evaluation,,,,iHRIS_Training_Course_Competency_Evaluation.evaluation_date (DATE_YMD)
IHRIS.DE.Training_Course_Competency_Evaluation.competency_evaluation,,training_course_competency_evaluation,Evaluation,Evaluation,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/competency_evaluation,,,R,,,No,Training Course Competency Evaluation,,,,iHRIS_Training_Course_Competency_Evaluation.competency_evaluation (MAP)
IHRIS.DE.Training_Course_Competency_Evaluation.competency,,training_course_competency_evaluation,Competency,Competency,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/competency,,,R,,,No,Training Course Competency Evaluation,,,,iHRIS_Training_Course_Competency_Evaluation.competency (MAP)
IHRIS.DE.Training_Course_Exam.notes,,training_course_exam,Notes,Notes,,String,,,,O,,,No,Training Course Exam,,,multi-line text,iHRIS_Training_Course_Exam.notes (STRING_MLINE)
IHRIS.DE.Training_Course_Exam.evaluation_date,,training_course_exam,Evaluation Date,Evaluation Date,,Date,,,,R,,,No,Training Course Exam,,,,iHRIS_Training_Course_Exam.evaluation_date (DATE_YMD)
IHRIS.DE.Training_Course_Exam.training_course_exam_type,,training_course_exam,Exam Type,Exam Type,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/training_course_exam_type,,,R,,,No,Training Course Exam,,,,iHRIS_Training_Course_Exam.training_course_exam_type (MAP)
IHRIS.DE.Training_Course_Exam.score,,training_course_exam,Score,Score,,Quantity,,Integer quantity,,R,,,No,Training Course Exam,,,,iHRIS_Training_Course_Exam.score (INT)
